availability_id,unified_patch_id,patch_family,sentinel2_status,chirps_status,terrain_status,hydrology_status,landcover_status,transparent_component_status,lineage_status,complete_family_count,missing_family_count,blocking_reason,review_only
S18A_AVAIL_0001,S18A_PATCH_0001,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0002,S18A_PATCH_0002,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0003,S18A_PATCH_0003,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0004,S18A_PATCH_0004,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0005,S18A_PATCH_0005,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0006,S18A_PATCH_0006,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0007,S18A_PATCH_0007,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0008,S18A_PATCH_0008,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0009,S18A_PATCH_0009,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0010,S18A_PATCH_0010,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0011,S18A_PATCH_0011,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0012,S18A_PATCH_0012,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0013,S18A_PATCH_0013,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0014,S18A_PATCH_0014,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0015,S18A_PATCH_0015,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0016,S18A_PATCH_0016,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0017,S18A_PATCH_0017,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0018,S18A_PATCH_0018,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0019,S18A_PATCH_0019,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0020,S18A_PATCH_0020,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0021,S18A_PATCH_0021,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0022,S18A_PATCH_0022,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0023,S18A_PATCH_0023,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0024,S18A_PATCH_0024,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0025,S18A_PATCH_0025,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0026,S18A_PATCH_0026,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0027,S18A_PATCH_0027,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0028,S18A_PATCH_0028,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0029,S18A_PATCH_0029,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
S18A_AVAIL_0030,S18A_PATCH_0030,official_population_patch,available,available,available,available,available,not_available,available,5,1,population_lacks_transparent_review_components,true
