candidate_discovery_id,unified_patch_id,source_patch_id,patch_family,priority_rank,candidate_reason,similar_to_canary_count,physical_signal_percentile,hydrology_signal_percentile,urban_signal_percentile,spectral_signal_percentile,rainfall_signal_percentile,data_completeness,recommended_next_action,review_only,ground_truth,training_label
S18B_CAND_0001,S18A_PATCH_0148,petropolis_00641,official_population_patch,1,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,99.37,95.24,99.68,4.44,99.37,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0002,S18A_PATCH_0138,petropolis_00471,official_population_patch,2,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,98.41,99.37,89.52,6.35,75.24,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0003,S18A_PATCH_0136,petropolis_00436,official_population_patch,3,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,94.6,97.78,95.24,2.22,85.4,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0004,S18A_PATCH_0125,petropolis_00333,official_population_patch,4,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,93.97,93.65,96.83,6.98,96.83,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0005,S18A_PATCH_0122,petropolis_00297,official_population_patch,5,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,94.92,93.33,95.87,0.63,95.87,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0006,S18A_PATCH_0140,petropolis_00506,official_population_patch,6,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,97.46,97.14,78.1,7.62,75.87,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0007,S18A_PATCH_0139,petropolis_00504,official_population_patch,7,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,93.33,96.19,92.38,3.17,75.56,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0008,S18A_PATCH_0311,S17C33_EAC_0011,event_anchored_canary_patch,8,high_physical_hydrology_signal;similar_to_canary;high_completeness;high_urban_signal,2,7.94,100.0,80.95,97.46,73.33,1.0,review_only_screening,true,false,false
S18B_CAND_0009,S18A_PATCH_0141,petropolis_00507,official_population_patch,9,high_physical_hydrology_signal;high_completeness,0,94.29,94.6,67.94,18.73,76.19,0.8333,acquire_ground_reference_priority,true,false,false
S18B_CAND_0010,S18A_PATCH_0142,petropolis_00539,official_population_patch,10,high_physical_hydrology_signal;high_completeness;high_urban_signal,0,85.4,94.92,90.48,13.97,76.51,0.8333,acquire_ground_reference_priority,true,false,false
