experiment_id,experiment_type,method,feature_groups,sample_count,uses_labels,uses_ground_truth,uses_score_v6_as_target,status,output_files,review_only
EXP01_pca_2d,unsupervised_review_only,pca_2d_numpy_svd,physical_topography;hydrology_proximity;urban_landcover;spectral_sentinel2;rainfall_chirps,316,false,false,false,completed,outputs_public/suscetibilidade/susc_18b_tabular_embedding_projection.csv,true
EXP02_truncated_svd_5d,unsupervised_review_only,truncated_svd_5d_numpy,physical_topography;hydrology_proximity;urban_landcover;spectral_sentinel2;rainfall_chirps,316,false,false,false,completed,outputs_public/suscetibilidade/susc_18b_tabular_embedding_projection.csv,true
EXP03_kmeans_k5,unsupervised_review_only,kmeans_k5_numpy,physical_topography;hydrology_proximity;urban_landcover;spectral_sentinel2;rainfall_chirps,316,false,false,false,completed,outputs_public/suscetibilidade/susc_18b_cluster_assignments.csv,true
EXP04_kmeans_k8,unsupervised_review_only,kmeans_k8_numpy,physical_topography;hydrology_proximity;urban_landcover;spectral_sentinel2;rainfall_chirps,316,false,false,false,completed,outputs_public/suscetibilidade/susc_18b_cluster_assignments.csv,true
EXP05_outlier_distance_to_centroid,unsupervised_review_only,distance_to_global_centroid,physical_topography;hydrology_proximity;urban_landcover;spectral_sentinel2;rainfall_chirps,316,false,false,false,completed,outputs_public/suscetibilidade/susc_18b_outlier_scores.csv,true
EXP06_similarity_topk,unsupervised_review_only,euclidean_topk_numpy,physical_topography;hydrology_proximity;urban_landcover;spectral_sentinel2;rainfall_chirps,316,false,false,false,completed,outputs_public/suscetibilidade/susc_18b_patch_similarity_index.csv,true
EXP07_family_ablation_spectral_only,unsupervised_review_only,pca_2d_spectral_only,spectral_sentinel2,316,false,false,false,completed,outputs_public/suscetibilidade/susc_18b_tabular_embedding_projection.csv,true
EXP08_family_ablation_physical_only,unsupervised_review_only,pca_2d_physical_only,physical_topography,316,false,false,false,completed,outputs_public/suscetibilidade/susc_18b_tabular_embedding_projection.csv,true
SUP_logistic_regression,supervised_blocked,logistic_regression,physical_topography;hydrology_proximity;urban_landcover;spectral_sentinel2;rainfall_chirps,0,false,false,false,blocked_no_labels,outputs_public/suscetibilidade/susc_18b_supervised_harness_status.csv,true
SUP_random_forest,supervised_blocked,random_forest,physical_topography;hydrology_proximity;urban_landcover;spectral_sentinel2;rainfall_chirps,0,false,false,false,blocked_no_labels,outputs_public/suscetibilidade/susc_18b_supervised_harness_status.csv,true
SUP_gradient_boosting_or_xgboost,supervised_blocked,gradient_boosting_or_xgboost,physical_topography;hydrology_proximity;urban_landcover;spectral_sentinel2;rainfall_chirps,0,false,false,false,blocked_no_labels,outputs_public/suscetibilidade/susc_18b_supervised_harness_status.csv,true
SUP_linear_svm,supervised_blocked,linear_svm,physical_topography;hydrology_proximity;urban_landcover;spectral_sentinel2;rainfall_chirps,0,false,false,false,blocked_no_labels,outputs_public/suscetibilidade/susc_18b_supervised_harness_status.csv,true
