missingness_mask_id,unified_patch_id,feature_family,feature_available,feature_missing,missing_reason,missingness_allowed,imputation_allowed,imputation_strategy,review_only
S18B_MASK_00001,S18A_PATCH_0001,physical_topography,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00002,S18A_PATCH_0001,hydrology_proximity,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00003,S18A_PATCH_0001,urban_landcover,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00004,S18A_PATCH_0001,spectral_sentinel2,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00005,S18A_PATCH_0001,rainfall_chirps,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00006,S18A_PATCH_0001,quality_lineage,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00007,S18A_PATCH_0002,physical_topography,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00008,S18A_PATCH_0002,hydrology_proximity,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00009,S18A_PATCH_0002,urban_landcover,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00010,S18A_PATCH_0002,spectral_sentinel2,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00011,S18A_PATCH_0002,rainfall_chirps,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00012,S18A_PATCH_0002,quality_lineage,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00013,S18A_PATCH_0003,physical_topography,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00014,S18A_PATCH_0003,hydrology_proximity,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00015,S18A_PATCH_0003,urban_landcover,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00016,S18A_PATCH_0003,spectral_sentinel2,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00017,S18A_PATCH_0003,rainfall_chirps,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00018,S18A_PATCH_0003,quality_lineage,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00019,S18A_PATCH_0004,physical_topography,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00020,S18A_PATCH_0004,hydrology_proximity,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00021,S18A_PATCH_0004,urban_landcover,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00022,S18A_PATCH_0004,spectral_sentinel2,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00023,S18A_PATCH_0004,rainfall_chirps,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00024,S18A_PATCH_0004,quality_lineage,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00025,S18A_PATCH_0005,physical_topography,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00026,S18A_PATCH_0005,hydrology_proximity,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00027,S18A_PATCH_0005,urban_landcover,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00028,S18A_PATCH_0005,spectral_sentinel2,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00029,S18A_PATCH_0005,rainfall_chirps,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00030,S18A_PATCH_0005,quality_lineage,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00031,S18A_PATCH_0006,physical_topography,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00032,S18A_PATCH_0006,hydrology_proximity,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00033,S18A_PATCH_0006,urban_landcover,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00034,S18A_PATCH_0006,spectral_sentinel2,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00035,S18A_PATCH_0006,rainfall_chirps,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00036,S18A_PATCH_0006,quality_lineage,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00037,S18A_PATCH_0007,physical_topography,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00038,S18A_PATCH_0007,hydrology_proximity,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00039,S18A_PATCH_0007,urban_landcover,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00040,S18A_PATCH_0007,spectral_sentinel2,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00041,S18A_PATCH_0007,rainfall_chirps,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00042,S18A_PATCH_0007,quality_lineage,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00043,S18A_PATCH_0008,physical_topography,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00044,S18A_PATCH_0008,hydrology_proximity,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00045,S18A_PATCH_0008,urban_landcover,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00046,S18A_PATCH_0008,spectral_sentinel2,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00047,S18A_PATCH_0008,rainfall_chirps,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00048,S18A_PATCH_0008,quality_lineage,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00049,S18A_PATCH_0009,physical_topography,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00050,S18A_PATCH_0009,hydrology_proximity,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00051,S18A_PATCH_0009,urban_landcover,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00052,S18A_PATCH_0009,spectral_sentinel2,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00053,S18A_PATCH_0009,rainfall_chirps,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00054,S18A_PATCH_0009,quality_lineage,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00055,S18A_PATCH_0010,physical_topography,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00056,S18A_PATCH_0010,hydrology_proximity,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00057,S18A_PATCH_0010,urban_landcover,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00058,S18A_PATCH_0010,spectral_sentinel2,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00059,S18A_PATCH_0010,rainfall_chirps,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00060,S18A_PATCH_0010,quality_lineage,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00061,S18A_PATCH_0011,physical_topography,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00062,S18A_PATCH_0011,hydrology_proximity,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00063,S18A_PATCH_0011,urban_landcover,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00064,S18A_PATCH_0011,spectral_sentinel2,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00065,S18A_PATCH_0011,rainfall_chirps,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00066,S18A_PATCH_0011,quality_lineage,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00067,S18A_PATCH_0012,physical_topography,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00068,S18A_PATCH_0012,hydrology_proximity,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00069,S18A_PATCH_0012,urban_landcover,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00070,S18A_PATCH_0012,spectral_sentinel2,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00071,S18A_PATCH_0012,rainfall_chirps,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00072,S18A_PATCH_0012,quality_lineage,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00073,S18A_PATCH_0013,physical_topography,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00074,S18A_PATCH_0013,hydrology_proximity,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00075,S18A_PATCH_0013,urban_landcover,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00076,S18A_PATCH_0013,spectral_sentinel2,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00077,S18A_PATCH_0013,rainfall_chirps,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00078,S18A_PATCH_0013,quality_lineage,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00079,S18A_PATCH_0014,physical_topography,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00080,S18A_PATCH_0014,hydrology_proximity,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00081,S18A_PATCH_0014,urban_landcover,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00082,S18A_PATCH_0014,spectral_sentinel2,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00083,S18A_PATCH_0014,rainfall_chirps,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00084,S18A_PATCH_0014,quality_lineage,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00085,S18A_PATCH_0015,physical_topography,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00086,S18A_PATCH_0015,hydrology_proximity,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00087,S18A_PATCH_0015,urban_landcover,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00088,S18A_PATCH_0015,spectral_sentinel2,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00089,S18A_PATCH_0015,rainfall_chirps,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00090,S18A_PATCH_0015,quality_lineage,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00091,S18A_PATCH_0016,physical_topography,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00092,S18A_PATCH_0016,hydrology_proximity,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00093,S18A_PATCH_0016,urban_landcover,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00094,S18A_PATCH_0016,spectral_sentinel2,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00095,S18A_PATCH_0016,rainfall_chirps,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00096,S18A_PATCH_0016,quality_lineage,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00097,S18A_PATCH_0017,physical_topography,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00098,S18A_PATCH_0017,hydrology_proximity,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00099,S18A_PATCH_0017,urban_landcover,true,false,available,true,unsupervised_only,none,true
S18B_MASK_00100,S18A_PATCH_0017,spectral_sentinel2,true,false,available,true,unsupervised_only,none,true
