outlier_score_id,experiment_id,unified_patch_id,outlier_score,outlier_rank,outlier_reason,review_only
S18B_OUT_00001,EXP05_outlier_distance_to_centroid,S18A_PATCH_0001,1.595349,312,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00002,EXP05_outlier_distance_to_centroid,S18A_PATCH_0002,1.817682,300,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00003,EXP05_outlier_distance_to_centroid,S18A_PATCH_0003,1.779174,303,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00004,EXP05_outlier_distance_to_centroid,S18A_PATCH_0004,1.882034,289,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00005,EXP05_outlier_distance_to_centroid,S18A_PATCH_0005,2.376453,223,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00006,EXP05_outlier_distance_to_centroid,S18A_PATCH_0006,2.744017,185,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00007,EXP05_outlier_distance_to_centroid,S18A_PATCH_0007,2.577178,206,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00008,EXP05_outlier_distance_to_centroid,S18A_PATCH_0008,2.84969,174,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00009,EXP05_outlier_distance_to_centroid,S18A_PATCH_0009,2.116298,257,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00010,EXP05_outlier_distance_to_centroid,S18A_PATCH_0010,2.174415,248,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00011,EXP05_outlier_distance_to_centroid,S18A_PATCH_0011,2.644674,197,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00012,EXP05_outlier_distance_to_centroid,S18A_PATCH_0012,1.876711,290,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00013,EXP05_outlier_distance_to_centroid,S18A_PATCH_0013,3.424909,113,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00014,EXP05_outlier_distance_to_centroid,S18A_PATCH_0014,2.506873,211,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00015,EXP05_outlier_distance_to_centroid,S18A_PATCH_0015,2.652374,195,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00016,EXP05_outlier_distance_to_centroid,S18A_PATCH_0016,2.791353,177,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00017,EXP05_outlier_distance_to_centroid,S18A_PATCH_0017,1.69471,308,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00018,EXP05_outlier_distance_to_centroid,S18A_PATCH_0018,3.347394,118,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00019,EXP05_outlier_distance_to_centroid,S18A_PATCH_0019,2.776478,180,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00020,EXP05_outlier_distance_to_centroid,S18A_PATCH_0020,2.24463,239,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00021,EXP05_outlier_distance_to_centroid,S18A_PATCH_0021,2.830439,175,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00022,EXP05_outlier_distance_to_centroid,S18A_PATCH_0022,2.273461,234,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00023,EXP05_outlier_distance_to_centroid,S18A_PATCH_0023,2.856512,173,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00024,EXP05_outlier_distance_to_centroid,S18A_PATCH_0024,2.463204,213,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00025,EXP05_outlier_distance_to_centroid,S18A_PATCH_0025,3.337008,119,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00026,EXP05_outlier_distance_to_centroid,S18A_PATCH_0026,2.173457,249,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00027,EXP05_outlier_distance_to_centroid,S18A_PATCH_0027,2.935279,160,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00028,EXP05_outlier_distance_to_centroid,S18A_PATCH_0028,2.891358,167,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00029,EXP05_outlier_distance_to_centroid,S18A_PATCH_0029,2.531882,209,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00030,EXP05_outlier_distance_to_centroid,S18A_PATCH_0030,3.194904,128,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00031,EXP05_outlier_distance_to_centroid,S18A_PATCH_0031,3.127304,134,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00032,EXP05_outlier_distance_to_centroid,S18A_PATCH_0032,3.055267,148,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00033,EXP05_outlier_distance_to_centroid,S18A_PATCH_0033,1.823237,299,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00034,EXP05_outlier_distance_to_centroid,S18A_PATCH_0034,3.068027,144,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00035,EXP05_outlier_distance_to_centroid,S18A_PATCH_0035,1.873192,292,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00036,EXP05_outlier_distance_to_centroid,S18A_PATCH_0036,1.777987,304,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00037,EXP05_outlier_distance_to_centroid,S18A_PATCH_0037,3.589477,104,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00038,EXP05_outlier_distance_to_centroid,S18A_PATCH_0038,4.94598,56,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00039,EXP05_outlier_distance_to_centroid,S18A_PATCH_0039,6.789487,35,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
S18B_OUT_00040,EXP05_outlier_distance_to_centroid,S18A_PATCH_0040,2.205867,242,distancia ao centroide multimodal global; patch INCOMUM (nao risco),true
