contrastive_similarity_id,query_patch_id,neighbor_patch_id,rank,distance,similarity_score,same_region,same_patch_family,query_is_canary,neighbor_is_canary,review_only
S18C_CON_00001,S18A_PATCH_0001,S18A_PATCH_0003,1,0.320046,0.75755,true,true,false,false,true
S18C_CON_00002,S18A_PATCH_0001,S18A_PATCH_0058,2,0.542495,0.6483,true,true,false,false,true
S18C_CON_00003,S18A_PATCH_0001,S18A_PATCH_0052,3,0.581993,0.632114,true,true,false,false,true
S18C_CON_00004,S18A_PATCH_0001,S18A_PATCH_0035,4,0.606115,0.622621,true,true,false,false,true
S18C_CON_00005,S18A_PATCH_0001,S18A_PATCH_0077,5,0.663984,0.600967,true,true,false,false,true
S18C_CON_00006,S18A_PATCH_0001,S18A_PATCH_0074,6,0.682607,0.594316,true,true,false,false,true
S18C_CON_00007,S18A_PATCH_0001,S18A_PATCH_0057,7,0.686604,0.592907,true,true,false,false,true
S18C_CON_00008,S18A_PATCH_0001,S18A_PATCH_0062,8,0.70172,0.587641,true,true,false,false,true
S18C_CON_00009,S18A_PATCH_0001,S18A_PATCH_0079,9,0.707617,0.585611,true,true,false,false,true
S18C_CON_00010,S18A_PATCH_0001,S18A_PATCH_0004,10,0.715894,0.582787,true,true,false,false,true
S18C_CON_00011,S18A_PATCH_0002,S18A_PATCH_0052,1,0.450383,0.689473,true,true,false,false,true
S18C_CON_00012,S18A_PATCH_0002,S18A_PATCH_0043,2,0.58961,0.629085,true,true,false,false,true
S18C_CON_00013,S18A_PATCH_0002,S18A_PATCH_0062,3,0.630393,0.613349,true,true,false,false,true
S18C_CON_00014,S18A_PATCH_0002,S18A_PATCH_0054,4,0.678919,0.595621,true,true,false,false,true
S18C_CON_00015,S18A_PATCH_0002,S18A_PATCH_0081,5,0.69379,0.590392,true,true,false,false,true
S18C_CON_00016,S18A_PATCH_0002,S18A_PATCH_0099,6,0.722585,0.580523,true,true,false,false,true
S18C_CON_00017,S18A_PATCH_0002,S18A_PATCH_0001,7,0.736675,0.575813,true,true,false,false,true
S18C_CON_00018,S18A_PATCH_0002,S18A_PATCH_0071,8,0.761793,0.567604,true,true,false,false,true
S18C_CON_00019,S18A_PATCH_0002,S18A_PATCH_0060,9,0.792638,0.557837,true,true,false,false,true
S18C_CON_00020,S18A_PATCH_0002,S18A_PATCH_0026,10,0.810343,0.552382,true,true,false,false,true
S18C_CON_00021,S18A_PATCH_0003,S18A_PATCH_0001,1,0.320046,0.75755,true,true,false,false,true
S18C_CON_00022,S18A_PATCH_0003,S18A_PATCH_0058,2,0.411191,0.708621,true,true,false,false,true
S18C_CON_00023,S18A_PATCH_0003,S18A_PATCH_0079,3,0.468374,0.681025,true,true,false,false,true
S18C_CON_00024,S18A_PATCH_0003,S18A_PATCH_0035,4,0.508279,0.663007,true,true,false,false,true
S18C_CON_00025,S18A_PATCH_0003,S18A_PATCH_0004,5,0.509403,0.662514,true,true,false,false,true
S18C_CON_00026,S18A_PATCH_0003,S18A_PATCH_0077,6,0.548017,0.645988,true,true,false,false,true
S18C_CON_00027,S18A_PATCH_0003,S18A_PATCH_0051,7,0.568697,0.637472,true,true,false,false,true
S18C_CON_00028,S18A_PATCH_0003,S18A_PATCH_0017,8,0.650437,0.6059,true,true,false,false,true
S18C_CON_00029,S18A_PATCH_0003,S18A_PATCH_0074,9,0.696255,0.589534,true,true,false,false,true
S18C_CON_00030,S18A_PATCH_0003,S18A_PATCH_0036,10,0.714812,0.583154,true,true,false,false,true
S18C_CON_00031,S18A_PATCH_0004,S18A_PATCH_0035,1,0.372642,0.728522,true,true,false,false,true
S18C_CON_00032,S18A_PATCH_0004,S18A_PATCH_0003,2,0.509403,0.662514,true,true,false,false,true
S18C_CON_00033,S18A_PATCH_0004,S18A_PATCH_0058,3,0.618205,0.617969,true,true,false,false,true
S18C_CON_00034,S18A_PATCH_0004,S18A_PATCH_0079,4,0.663304,0.601213,true,true,false,false,true
S18C_CON_00035,S18A_PATCH_0004,S18A_PATCH_0059,5,0.711983,0.584118,true,true,false,false,true
S18C_CON_00036,S18A_PATCH_0004,S18A_PATCH_0001,6,0.715894,0.582787,true,true,false,false,true
S18C_CON_00037,S18A_PATCH_0004,S18A_PATCH_0094,7,0.77249,0.564178,true,true,false,false,true
