geometry_target_id,blocker_type,severity,field,reason_pt,prevents_geometry_priority_high,prevents_positive_strong,prevents_evaluation,prevents_calibration,how_to_resolve_pt,geometry_blocker_id
GEO_0076,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00001
GEO_0077,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00002
GEO_0078,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00003
GEO_0079,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00004
GEO_0080,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00005
GEO_0081,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00006
GEO_0082,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00007
GEO_0083,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00008
GEO_0084,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00009
GEO_0085,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00010
GEO_0086,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00011
GEO_0087,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00012
GEO_0088,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00013
GEO_0089,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00014
GEO_0090,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00015
GEO_0091,geometria_oficial_ausente,media,geometry_type,datado sem geometria oficial; depende de footprint SAR futuro,false,true,false,true,preparar footprint tecnico SAR (marco futuro) ou buscar geometria oficial,GBL_00016
