canonical_patch_id,region,normalized_asset_count,clean_temporal_asset_count,unique_acquisition_dates_count,unique_acquisition_dates,s2_clean_asset_count,s1_clean_asset_count,dinov2_clean_asset_count,has_1_date,has_2_dates,has_3plus_dates,eligible_for_temporal_embedding_drift,temporal_coverage_status,remaining_blockers,next_required_action
758,Recife,1,0,0,unknown,0,0,0,false,false,false,false,HAS_ASSETS_BUT_NO_CLEAN_DATE,BLOCKED_MISSING_ASSET_TYPE,REPAIR_ACQUISITION_DATE_AND_REQUIRED_METADATA
AGREGADO_CURITIBA,Curitiba,1,0,0,unknown,0,0,0,false,false,false,false,HAS_ASSETS_BUT_NO_CLEAN_DATE,BLOCKED_MISSING_ASSET_TYPE,REPAIR_ACQUISITION_DATE_AND_REQUIRED_METADATA
AGREGADO_PETROPOLIS,Petropolis,1,0,0,unknown,0,0,0,false,false,false,false,HAS_ASSETS_BUT_NO_CLEAN_DATE,BLOCKED_MISSING_ASSET_TYPE,REPAIR_ACQUISITION_DATE_AND_REQUIRED_METADATA
AGREGADO_RECIFE,Recife,1,0,0,unknown,0,0,0,false,false,false,false,HAS_ASSETS_BUT_NO_CLEAN_DATE,BLOCKED_MISSING_ASSET_TYPE,REPAIR_ACQUISITION_DATE_AND_REQUIRED_METADATA
ARP_v2az_0005,Recife,1,0,0,unknown,0,0,0,false,false,false,false,HAS_ASSETS_BUT_NO_CLEAN_DATE,BLOCKED_MISSING_ASSET_TYPE,REPAIR_ACQUISITION_DATE_AND_REQUIRED_METADATA
CH758_OLINDA_20220603_UNTITLED,Olinda/PE,1,0,0,unknown,0,0,0,false,false,false,false,HAS_ASSETS_BUT_NO_CLEAN_DATE,BLOCKED_MISSING_ASSET_TYPE,REPAIR_ACQUISITION_DATE_AND_REQUIRED_METADATA
CH758_RECIFE_20220602_001,Recife,1,0,0,unknown,0,0,0,false,false,false,false,HAS_ASSETS_BUT_NO_CLEAN_DATE,BLOCKED_MISSING_ASSET_TYPE,REPAIR_ACQUISITION_DATE_AND_REQUIRED_METADATA
CTB_2022_01_15_16,Curitiba,1,0,0,unknown,0,0,0,false,false,false,false,HAS_ASSETS_BUT_NO_CLEAN_DATE,BLOCKED_MISSING_ASSET_TYPE,REPAIR_ACQUISITION_DATE_AND_REQUIRED_METADATA
CTB_2023_10_28_30,Curitiba,1,0,0,unknown,0,0,0,false,false,false,false,HAS_ASSETS_BUT_NO_CLEAN_DATE,BLOCKED_MISSING_ASSET_TYPE,REPAIR_ACQUISITION_DATE_AND_REQUIRED_METADATA
CTB_2024_02_18_20,Curitiba,1,0,0,unknown,0,0,0,false,false,false,false,HAS_ASSETS_BUT_NO_CLEAN_DATE,BLOCKED_MISSING_ASSET_TYPE,REPAIR_ACQUISITION_DATE_AND_REQUIRED_METADATA
CTB_SEEDS_x3,Curitiba,1,0,0,unknown,0,0,0,false,false,false,false,HAS_ASSETS_BUT_NO_CLEAN_DATE,BLOCKED_MISSING_ASSET_TYPE,REPAIR_ACQUISITION_DATE_AND_REQUIRED_METADATA
CUR-00038,Curitiba,1,0,0,unknown,0,0,0,false,false,false,false,HAS_ASSETS_BUT_NO_CLEAN_DATE,BLOCKED_MISSING_ASSET_TYPE,REPAIR_ACQUISITION_DATE_AND_REQUIRED_METADATA
CUR-00249,Curitiba,1,0,0,unknown,0,0,0,false,false,false,false,HAS_ASSETS_BUT_NO_CLEAN_DATE,BLOCKED_MISSING_ASSET_TYPE,REPAIR_ACQUISITION_DATE_AND_REQUIRED_METADATA
