license_audit_id,product_candidate_id,source_id,source_family,candidate_url,license_status,license_reference,redistribution_allowed,raw_download_allowed,public_output_allowed,metadata_only_allowed,manual_license_review_required,license_audit_status,blocking_reason,allowed_claim,forbidden_claim
LIC_v2cz_0001,PROD_v2cy_0001,REAL_v2cs_CHARTER_751_PETROPOLIS,INTERNATIONAL_CHARTER,,UNKNOWN,,false,false,false,true,true,METADATA_ONLY_ALLOWED,NO_PRODUCT_URL_METADATA_ONLY,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
LIC_v2cz_0002,PROD_v2cy_0002,REAL_v2cs_CHARTER_758_PERNAMBUCO_RECIFE,INTERNATIONAL_CHARTER,,UNKNOWN,,false,false,false,true,true,METADATA_ONLY_ALLOWED,NO_PRODUCT_URL_METADATA_ONLY,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
LIC_v2cz_0003,PROD_v2cy_0003,REAL_v2cs_COPERNICUS_EMS_ON_DEMAND,COPERNICUS_EMS,,UNKNOWN,,false,false,false,true,true,METADATA_ONLY_ALLOWED,NO_PRODUCT_URL_METADATA_ONLY,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
LIC_v2cz_0004,PROD_v2cy_0004,REAL_v2cs_COPERNICUS_GFM,COPERNICUS_GFM,,UNKNOWN,,false,false,false,true,true,METADATA_ONLY_ALLOWED,NO_PRODUCT_URL_METADATA_ONLY,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
LIC_v2cz_0005,PROD_v2cy_0005,REAL_v2cs_SGB_CPRM_PREVENCAO_DESASTRES,SGB_CPRM,,UNKNOWN,,false,false,false,true,true,METADATA_ONLY_ALLOWED,NO_PRODUCT_URL_METADATA_ONLY,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
LIC_v2cz_0006,PROD_v2cy_0006,REAL_v2cs_DRM_RJ_CARTA_RISCO_PETROPOLIS,DRM_RJ,,UNKNOWN,,false,false,false,true,true,METADATA_ONLY_ALLOWED,NO_PRODUCT_URL_METADATA_ONLY,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
LIC_v2cz_0007,PROD_v2cy_0007,REAL_v2cs_CURITIBA_DADOS_ABERTOS_IPPUC,CURITIBA_IPPUC,,UNKNOWN,,false,false,false,true,true,METADATA_ONLY_ALLOWED,NO_PRODUCT_URL_METADATA_ONLY,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
LIC_v2cz_0008,PROD_v2cy_0008,SYNC_v2cu_CHARTER_751_PETROPOLIS,INTERNATIONAL_CHARTER,,UNKNOWN,,false,false,false,true,true,METADATA_ONLY_ALLOWED,NO_PRODUCT_URL_METADATA_ONLY,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
LIC_v2cz_0009,PROD_v2cy_0009,SYNC_v2cu_CHARTER_758_PERNAMBUCO_RECIFE,INTERNATIONAL_CHARTER,,UNKNOWN,,false,false,false,true,true,METADATA_ONLY_ALLOWED,NO_PRODUCT_URL_METADATA_ONLY,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
LIC_v2cz_0010,PROD_v2cy_0010,SYNC_v2cu_COPERNICUS_EMS_ON_DEMAND,COPERNICUS_EMS,,UNKNOWN,,false,false,false,true,true,METADATA_ONLY_ALLOWED,NO_PRODUCT_URL_METADATA_ONLY,"Uso permitido apenas como prontidao cientifica review-only; nao fecha TP2, TP3, treino ou validacao operacional.",ground_truth_operacional|label_binario|negativo_formal|dataset_treino|claim_deteccao|claim_predicao|intersecao_observada_automatica
