inspection_id,sibling_root,artifact_stage,artifact_role,source_path,relative_path,allowed_directory,is_expected_core_table,file_size_bytes,sha256,row_count_if_csv,expected_row_count,inspection_status,blocking_reason,allowed_claim,forbidden_claim
INSPECT_v2es_0001,C:\Users\gabriela\Documents\REV-P-PUBLIC-FREEZE_DISCARD_20260514,RELATED,revp_crs_manual_review_queue_and_evidence_packet_v1bd.md,C:\Users\gabriela\Documents\REV-P-PUBLIC-FREEZE_DISCARD_20260514\docs\revp_crs_manual_review_queue_and_evidence_packet_v1bd.md,docs/revp_crs_manual_review_queue_and_evidence_packet_v1bd.md,false,false,10610,0555c1b5cc8494c00c0549a1224fd976a3ebc1c66246d4643f6045db8d9349fc,,,SIBLING_ARTIFACT_FOUND_READONLY,,"review-only controlled recovery workflow; restores traceability when valid artifacts exist but does not close operational ground truth, labels, negatives, training, detection, or prediction",operational ground truth|binary label|formal negative|supervised dataset|training release|detection claim|prediction claim|automatic human decision
INSPECT_v2es_0002,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005,RELATED,v2bf_recife_observed_event_polygon_tp2_gate_config.json,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005\configs\v2bf_recife_observed_event_polygon_tp2_gate_config.json,configs/v2bf_recife_observed_event_polygon_tp2_gate_config.json,false,false,1236,c4ecbaf3f9c2c08a4550370951328427c7880c77c06332bb1228544f6459210e,,,SIBLING_ARTIFACT_FOUND_READONLY,,"review-only controlled recovery workflow; restores traceability when valid artifacts exist but does not close operational ground truth, labels, negatives, training, detection, or prediction",operational ground truth|binary label|formal negative|supervised dataset|training release|detection claim|prediction claim|automatic human decision
INSPECT_v2es_0003,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005,RELATED,consolidated_observed_event_vector_candidate_registry.csv,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005\datasets\consolidated_observed_event_vector_candidate_registry.csv,datasets/consolidated_observed_event_vector_candidate_registry.csv,false,false,8202,32a312db504f347454a0f3efe6eec48d002b6d02b544e5d0ca91bef4269bd317,18,,SIBLING_ARTIFACT_FOUND_READONLY,,"review-only controlled recovery workflow; restores traceability when valid artifacts exist but does not close operational ground truth, labels, negatives, training, detection, or prediction",operational ground truth|binary label|formal negative|supervised dataset|training release|detection claim|prediction claim|automatic human decision
INSPECT_v2es_0004,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005,RELATED,observed_event_reference_candidate_registry.csv,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005\datasets\observed_event_reference_candidate_registry.csv,datasets/observed_event_reference_candidate_registry.csv,false,false,8266,b68ab3815895fc822eb10f492dbac6c61e67b0913cdc58ba283b06c102349411,9,,SIBLING_ARTIFACT_FOUND_READONLY,,"review-only controlled recovery workflow; restores traceability when valid artifacts exist but does not close operational ground truth, labels, negatives, training, detection, or prediction",operational ground truth|binary label|formal negative|supervised dataset|training release|detection claim|prediction claim|automatic human decision
INSPECT_v2es_0005,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005,RELATED,observed_event_reference_decision_registry.csv,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005\datasets\observed_event_reference_decision_registry.csv,datasets/observed_event_reference_decision_registry.csv,false,false,5951,663f301e6a87ded596c7413c4faed3e0b930be0a7ac9b8b2d13966d77c4607e1,9,,SIBLING_ARTIFACT_FOUND_READONLY,,"review-only controlled recovery workflow; restores traceability when valid artifacts exist but does not close operational ground truth, labels, negatives, training, detection, or prediction",operational ground truth|binary label|formal negative|supervised dataset|training release|detection claim|prediction claim|automatic human decision
INSPECT_v2es_0006,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005,RELATED,observed_event_reference_gap_registry.csv,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005\datasets\observed_event_reference_gap_registry.csv,datasets/observed_event_reference_gap_registry.csv,false,false,14187,6a09bc400cb68f334f12bda7c838cbe85a101be68bfe9d73bbeefbba7d56c566,44,,SIBLING_ARTIFACT_FOUND_READONLY,,"review-only controlled recovery workflow; restores traceability when valid artifacts exist but does not close operational ground truth, labels, negatives, training, detection, or prediction",operational ground truth|binary label|formal negative|supervised dataset|training release|detection claim|prediction claim|automatic human decision
INSPECT_v2es_0007,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005,RELATED,official_observed_event_vector_registry.csv,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005\datasets\official_observed_event_vector_registry.csv,datasets/official_observed_event_vector_registry.csv,false,false,4330,a64509b176a98502080d3d93ec9ea23c3c5cc4bca4daa3e7cf22053ace128494,6,,SIBLING_ARTIFACT_FOUND_READONLY,,"review-only controlled recovery workflow; restores traceability when valid artifacts exist but does not close operational ground truth, labels, negatives, training, detection, or prediction",operational ground truth|binary label|formal negative|supervised dataset|training release|detection claim|prediction claim|automatic human decision
INSPECT_v2es_0008,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005,RELATED,protocol_c_hydromet_evidence_packet_registry_v1tg.csv,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005\datasets\protocol_c_hydromet_evidence_packet_registry_v1tg.csv,datasets/protocol_c_hydromet_evidence_packet_registry_v1tg.csv,false,false,3365,45be48710f2e07bdfcde1661e091af1f5b10d4d18a39061c49f1a183f2664c73,9,,SIBLING_ARTIFACT_FOUND_READONLY,,"review-only controlled recovery workflow; restores traceability when valid artifacts exist but does not close operational ground truth, labels, negatives, training, detection, or prediction",operational ground truth|binary label|formal negative|supervised dataset|training release|detection claim|prediction claim|automatic human decision
INSPECT_v2es_0009,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005,RELATED,protocol_c_hydromet_evidence_packet_summary_v1tg.csv,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005\datasets\protocol_c_hydromet_evidence_packet_summary_v1tg.csv,datasets/protocol_c_hydromet_evidence_packet_summary_v1tg.csv,false,false,118,896d9c19b7cba9b31ad67a68ba26d8acb580eae925f3717d792fffa1e568d5bc,5,,SIBLING_ARTIFACT_FOUND_READONLY,,"review-only controlled recovery workflow; restores traceability when valid artifacts exist but does not close operational ground truth, labels, negatives, training, detection, or prediction",operational ground truth|binary label|formal negative|supervised dataset|training release|detection claim|prediction claim|automatic human decision
INSPECT_v2es_0010,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005,RELATED,recife_ground_reference_observed_event_registry_v1ov.csv,C:\Users\gabriela\Documents\REV-P-v2cx-v2dd-clean-20260617_154005\datasets\recife_ground_reference_observed_event_registry_v1ov.csv,datasets/recife_ground_reference_observed_event_registry_v1ov.csv,false,false,2464,e5c5835e0cb3572e638f1d83f5b726d55071cca9a3cfe064e5c2bb9dced61c6a,4,,SIBLING_ARTIFACT_FOUND_READONLY,,"review-only controlled recovery workflow; restores traceability when valid artifacts exist but does not close operational ground truth, labels, negatives, training, detection, or prediction",operational ground truth|binary label|formal negative|supervised dataset|training release|detection claim|prediction claim|automatic human decision
