item,tipo,prioridade,motivo,condicao_para_publicar,origem_publica_institucional,risco_tecnico_ou_metodologico,acao_recomendada,observacao
Manifesto URL+SHA256+tamanho das 8 fontes baixadas,manifesto_reprodutibilidade,alta,artefato_leve_e_suficiente_para_reproducao_publica,nenhuma_pode_publicar_agora,sim,nenhum,publicar_como_pacote_externo_reprodutivel,Pessoa externa re-baixa pela URL e confere hash/tamanho; nao precisa redistribuir binarios.
ibge_malha_municipal_petropolis_3303906.geojson,geojson_contexto,media,arquivo_leve_reprodutivel_por_url,manter_como_contexto_nao_evento,sim,risco_de_usar_contexto_como_evento,incluir_no_pacote_externo_como_referencia_territorial,Limite municipal; uso so como contexto.
ibge_malha_municipal_recife_2611606.geojson,geojson_contexto,media,arquivo_leve_reprodutivel_por_url,manter_como_contexto_nao_evento,sim,risco_de_usar_contexto_como_evento,incluir_no_pacote_externo_como_referencia_territorial,Limite municipal; uso so como contexto.
ibge_malha_municipal_curitiba_4106902.geojson,geojson_contexto,media,arquivo_leve_reprodutivel_por_url,manter_como_contexto_nao_evento,sim,risco_de_usar_contexto_como_evento,incluir_no_pacote_externo_como_referencia_territorial,Limite municipal; uso so como contexto.
geocuritiba_bacia_hidrografica_l54.geojson,geojson_contexto,media,arquivo_leve_reprodutivel_por_url,manter_como_contexto_nao_evento,sim,risco_de_usar_contexto_como_evento,incluir_no_pacote_externo_como_referencia_hidrografica,"Bacias; contexto de drenagem, nao evento."
ana_inventario_estacoes_pluviometricas.pdf,pdf_catalogo,baixa,arquivo_pesado_nao_necessario_para_git,manter_em_local_only_referenciar_por_url,sim,catalogo_nao_e_serie_de_evento,referenciar_por_url_e_hash_no_manifesto,4.3MB; reprodutivel por URL.
mapbiomas_col10_1_cobertura_dhn250_estado_bioma.xlsx,xlsx_contexto,baixa,arquivo_pesado_nao_necessario_para_git,manter_em_local_only_referenciar_por_url,sim,uso_cobertura_nao_e_evento,referenciar_por_url_e_hash_no_manifesto,9.2MB; reprodutivel por URL.
sgb_cprm_carta_suscetibilidade_petropolis_cs.pdf,pdf_suscetibilidade,baixa,arquivo_pesado_e_e_suscetibilidade_nao_evento,manter_em_local_only_referenciar_por_url,sim,suscetibilidade_nao_evento;landslide_vs_flood,referenciar_por_url_e_hash;nunca_tratar_como_evento,13.8MB; PDF do mapa. SIG vetorial 1.8GB permanece nao baixado.
nhess_23_1157_2023_petropolis_fev2022.pdf,pdf_academico,baixa,arquivo_pesado_fonte_secundaria,manter_em_local_only_referenciar_por_url,sim,fonte_secundaria_nao_geometria,referenciar_por_url_e_hash_no_manifesto,7.8MB; CC-BY 4.0; reprodutivel por URL.
SIG vetorial completo da carta SGB (1.8 GB),sig_vetorial_pesado,nao_publicar,arquivo_pesado_demais,nao_publicar_em_git_nem_pacote_padrao,sim,suscetibilidade_nao_evento,manter_fora_do_repositorio;baixar_sob_demanda_local,Pesado demais; fora de escopo de publicacao.
Serie hidrologica ANA por estacao do Capibaribe,serie_hidrologica,media,fonte_ainda_nao_foi_baixada,baixar_via_hidroweb_por_estacao_depois_publicar_hash,sim,sem_geometria_de_evento,aquisicao_manual_via_hidroweb,Requer selecao manual de estacao/periodo; nao e arquivo direto.
Produto CEMADEN (pluviometrico),dado_sob_solicitacao,nao_publicar,depende_de_solicitacao_formal,obter_via_formulario_email_depois_avaliar,sim,suscetibilidade_nao_evento,solicitacao_formal,"Bloqueio tecnico (formulario/e-mail), nao licenca."
Produto Copernicus EMS Rapid Mapping Petropolis,produto_emergencial,nao_publicar,fonte_ainda_nao_confirmada,confirmar_id_EMSR_ou_descartar,sim,sem_produto_vetorial_publico;landslide_vs_flood,busca_dirigida_por_id_de_ativacao,Nenhum produto vetorial publico confirmado para Petropolis.
Boletim/serie APAC (PE),boletim_regional,baixa,apenas_html_de_portal,obter_dado_estruturado_ou_descartar,sim,portal_sem_arquivo_estatico,navegacao_manual_ou_alternativa_ANA,Sem PDF/CSV estatico; dados em PCD tempo real.
