canonical_patch_id,region,current_clean_dates_count,current_clean_dates,missing_dates_to_3,current_clean_temporal_asset_count,s2_clean_asset_count,s1_clean_asset_count,dinov2_clean_asset_count,eligible_for_temporal_embedding_drift_now,acquisition_gap_status,acquisition_priority,is_actionable_for_temporal_backfill,requires_metadata_repair_before_acquisition,remaining_blockers,minimum_new_acquisitions_required,recommended_sensor_family,recommended_processing_contract,next_required_action,guardrail_status
758,Recife,0,unknown,3,0,0,0,0,false,BLOCKED_BY_METADATA_REPAIR,P3_REPAIR_METADATA_FIRST,false,true,BLOCKED_MISSING_ASSET_TYPE,0,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,REPAIR_METADATA_BEFORE_TEMPORAL_ACQUISITION,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
AGREGADO_CURITIBA,Curitiba,0,unknown,3,0,0,0,0,false,BLOCKED_BY_METADATA_REPAIR,P3_REPAIR_METADATA_FIRST,false,true,BLOCKED_MISSING_ASSET_TYPE,0,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,REPAIR_METADATA_BEFORE_TEMPORAL_ACQUISITION,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
AGREGADO_PETROPOLIS,Petropolis,0,unknown,3,0,0,0,0,false,BLOCKED_BY_METADATA_REPAIR,P3_REPAIR_METADATA_FIRST,false,true,BLOCKED_MISSING_ASSET_TYPE,0,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,REPAIR_METADATA_BEFORE_TEMPORAL_ACQUISITION,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
AGREGADO_RECIFE,Recife,0,unknown,3,0,0,0,0,false,BLOCKED_BY_METADATA_REPAIR,P3_REPAIR_METADATA_FIRST,false,true,BLOCKED_MISSING_ASSET_TYPE,0,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,REPAIR_METADATA_BEFORE_TEMPORAL_ACQUISITION,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
ARP_v2az_0005,Recife,0,unknown,3,0,0,0,0,false,BLOCKED_BY_METADATA_REPAIR,P3_REPAIR_METADATA_FIRST,false,true,BLOCKED_MISSING_ASSET_TYPE,0,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,REPAIR_METADATA_BEFORE_TEMPORAL_ACQUISITION,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CH758_OLINDA_20220603_UNTITLED,Olinda/PE,0,unknown,3,0,0,0,0,false,BLOCKED_BY_METADATA_REPAIR,P3_REPAIR_METADATA_FIRST,false,true,BLOCKED_MISSING_ASSET_TYPE,0,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,REPAIR_METADATA_BEFORE_TEMPORAL_ACQUISITION,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CH758_RECIFE_20220602_001,Recife,0,unknown,3,0,0,0,0,false,BLOCKED_BY_METADATA_REPAIR,P3_REPAIR_METADATA_FIRST,false,true,BLOCKED_MISSING_ASSET_TYPE,0,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,REPAIR_METADATA_BEFORE_TEMPORAL_ACQUISITION,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CTB_2022_01_15_16,Curitiba,0,unknown,3,0,0,0,0,false,BLOCKED_BY_METADATA_REPAIR,P3_REPAIR_METADATA_FIRST,false,true,BLOCKED_MISSING_ASSET_TYPE,0,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,REPAIR_METADATA_BEFORE_TEMPORAL_ACQUISITION,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CTB_2023_10_28_30,Curitiba,0,unknown,3,0,0,0,0,false,BLOCKED_BY_METADATA_REPAIR,P3_REPAIR_METADATA_FIRST,false,true,BLOCKED_MISSING_ASSET_TYPE,0,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,REPAIR_METADATA_BEFORE_TEMPORAL_ACQUISITION,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
CTB_2024_02_18_20,Curitiba,0,unknown,3,0,0,0,0,false,BLOCKED_BY_METADATA_REPAIR,P3_REPAIR_METADATA_FIRST,false,true,BLOCKED_MISSING_ASSET_TYPE,0,requires_manual_sensor_selection,SAME_PATCH_GEOMETRY_SAME_PREPROCESSING_DINOV2_FROZEN_LATER_NO_LABELS,REPAIR_METADATA_BEFORE_TEMPORAL_ACQUISITION,GUARDRAILS_PRESERVED_ACQUISITION_PLAN_ONLY
