canonical_patch_id,region,asset_ref_id,asset_type,derived_asset_type,source_asset_ref_id,source_sensor_family,source_acquisition_date,source_cloud_cover,source_link_status,source_link_rule,source_link_confidence,source_file,source_field,evidence_value_sanitized,has_explicit_source_asset,has_explicit_source_sensor,has_explicit_source_date,is_dinov2_derived_asset,is_source_sensor_resolved,would_unblock_sensor_family_resolution,would_unblock_backfill_request,blocking_reason,guardrail_status
758,Recife,asset_ref_cb136a9a59dc,unknown,unknown,unknown_source_ref,unknown_source_sensor,unknown,unknown,BLOCKED_UNKNOWN_ASSET_TYPE,UNKNOWN_ASSET_TYPE_WITHOUT_EXPLICIT_SOURCE_SENSOR,REJECTED_UNKNOWN,normalized_asset_manifest_row,acquisition_date,unknown,false,false,false,false,false,false,false,UNKNOWN_ASSET_TYPE,GUARDRAILS_PRESERVED_SOURCE_SENSOR_PROVENANCE_AUDIT_ONLY
AGREGADO_CURITIBA,Curitiba,asset_ref_7543f17439cf,unknown,unknown,unknown_source_ref,unknown_source_sensor,unknown,unknown,BLOCKED_UNKNOWN_ASSET_TYPE,UNKNOWN_ASSET_TYPE_WITHOUT_EXPLICIT_SOURCE_SENSOR,REJECTED_UNKNOWN,normalized_asset_manifest_row,acquisition_date,unknown,false,false,false,false,false,false,false,UNKNOWN_ASSET_TYPE,GUARDRAILS_PRESERVED_SOURCE_SENSOR_PROVENANCE_AUDIT_ONLY
AGREGADO_PETROPOLIS,Petropolis,asset_ref_6fb64fbd7a0b,unknown,unknown,unknown_source_ref,unknown_source_sensor,unknown,unknown,BLOCKED_UNKNOWN_ASSET_TYPE,UNKNOWN_ASSET_TYPE_WITHOUT_EXPLICIT_SOURCE_SENSOR,REJECTED_UNKNOWN,normalized_asset_manifest_row,acquisition_date,unknown,false,false,false,false,false,false,false,UNKNOWN_ASSET_TYPE,GUARDRAILS_PRESERVED_SOURCE_SENSOR_PROVENANCE_AUDIT_ONLY
AGREGADO_RECIFE,Recife,asset_ref_a0bdfb080f58,unknown,unknown,unknown_source_ref,unknown_source_sensor,unknown,unknown,BLOCKED_UNKNOWN_ASSET_TYPE,UNKNOWN_ASSET_TYPE_WITHOUT_EXPLICIT_SOURCE_SENSOR,REJECTED_UNKNOWN,normalized_asset_manifest_row,acquisition_date,unknown,false,false,false,false,false,false,false,UNKNOWN_ASSET_TYPE,GUARDRAILS_PRESERVED_SOURCE_SENSOR_PROVENANCE_AUDIT_ONLY
ARP_v2az_0005,Recife,asset_ref_494d13f9d1bb,unknown,unknown,unknown_source_ref,unknown_source_sensor,unknown,unknown,BLOCKED_UNKNOWN_ASSET_TYPE,UNKNOWN_ASSET_TYPE_WITHOUT_EXPLICIT_SOURCE_SENSOR,REJECTED_UNKNOWN,normalized_asset_manifest_row,acquisition_date,unknown,false,false,false,false,false,false,false,UNKNOWN_ASSET_TYPE,GUARDRAILS_PRESERVED_SOURCE_SENSOR_PROVENANCE_AUDIT_ONLY
CH758_OLINDA_20220603_UNTITLED,Olinda/PE,asset_ref_3808b76bc380,unknown,unknown,unknown_source_ref,unknown_source_sensor,unknown,unknown,BLOCKED_UNKNOWN_ASSET_TYPE,UNKNOWN_ASSET_TYPE_WITHOUT_EXPLICIT_SOURCE_SENSOR,REJECTED_UNKNOWN,normalized_asset_manifest_row,acquisition_date,unknown,false,false,false,false,false,false,false,UNKNOWN_ASSET_TYPE,GUARDRAILS_PRESERVED_SOURCE_SENSOR_PROVENANCE_AUDIT_ONLY
CH758_RECIFE_20220602_001,Recife,asset_ref_0d519df8d0ab,unknown,unknown,unknown_source_ref,unknown_source_sensor,unknown,unknown,BLOCKED_UNKNOWN_ASSET_TYPE,UNKNOWN_ASSET_TYPE_WITHOUT_EXPLICIT_SOURCE_SENSOR,REJECTED_UNKNOWN,normalized_asset_manifest_row,acquisition_date,unknown,false,false,false,false,false,false,false,UNKNOWN_ASSET_TYPE,GUARDRAILS_PRESERVED_SOURCE_SENSOR_PROVENANCE_AUDIT_ONLY
CTB_2022_01_15_16,Curitiba,asset_ref_583ea7660321,unknown,unknown,unknown_source_ref,unknown_source_sensor,unknown,unknown,BLOCKED_UNKNOWN_ASSET_TYPE,UNKNOWN_ASSET_TYPE_WITHOUT_EXPLICIT_SOURCE_SENSOR,REJECTED_UNKNOWN,normalized_asset_manifest_row,acquisition_date,unknown,false,false,false,false,false,false,false,UNKNOWN_ASSET_TYPE,GUARDRAILS_PRESERVED_SOURCE_SENSOR_PROVENANCE_AUDIT_ONLY
CTB_2023_10_28_30,Curitiba,asset_ref_fdd6695afc4f,unknown,unknown,unknown_source_ref,unknown_source_sensor,unknown,unknown,BLOCKED_UNKNOWN_ASSET_TYPE,UNKNOWN_ASSET_TYPE_WITHOUT_EXPLICIT_SOURCE_SENSOR,REJECTED_UNKNOWN,normalized_asset_manifest_row,acquisition_date,unknown,false,false,false,false,false,false,false,UNKNOWN_ASSET_TYPE,GUARDRAILS_PRESERVED_SOURCE_SENSOR_PROVENANCE_AUDIT_ONLY
CTB_2024_02_18_20,Curitiba,asset_ref_10b7c9242929,unknown,unknown,unknown_source_ref,unknown_source_sensor,unknown,unknown,BLOCKED_UNKNOWN_ASSET_TYPE,UNKNOWN_ASSET_TYPE_WITHOUT_EXPLICIT_SOURCE_SENSOR,REJECTED_UNKNOWN,normalized_asset_manifest_row,acquisition_date,unknown,false,false,false,false,false,false,false,UNKNOWN_ASSET_TYPE,GUARDRAILS_PRESERVED_SOURCE_SENSOR_PROVENANCE_AUDIT_ONLY
