patch_id,CUR_00038,CUR_00249,CUR_00350,CUR_00357,PET_00016,PET_00104,PET_00119,PET_00140,REC_00019,REC_00183,REC_00204,REC_00205
CUR_00038,1.0,0.821803,0.825592,0.846987,0.462414,0.833807,0.783212,0.816886,0.453594,0.846836,0.844336,0.854451
CUR_00249,0.821803,1.0,0.804672,0.823641,0.508607,0.837655,0.820702,0.838162,0.406391,0.874137,0.782342,0.858288
CUR_00350,0.825592,0.804672,1.0,0.814519,0.401481,0.694321,0.713331,0.719898,0.350524,0.761974,0.644818,0.721174
CUR_00357,0.846987,0.823641,0.814519,1.0,0.490645,0.770803,0.770468,0.785448,0.47889,0.838225,0.736287,0.796719
PET_00016,0.462414,0.508607,0.401481,0.490645,1.0,0.489325,0.528075,0.457606,0.445383,0.455,0.47108,0.46387
PET_00104,0.833807,0.837655,0.694321,0.770803,0.489325,1.0,0.841394,0.876727,0.41392,0.856858,0.878252,0.867374
PET_00119,0.783212,0.820702,0.713331,0.770468,0.528075,0.841394,1.0,0.804681,0.414508,0.808306,0.792119,0.796351
PET_00140,0.816886,0.838162,0.719898,0.785448,0.457606,0.876727,0.804681,1.0,0.392427,0.916735,0.794516,0.869741
REC_00019,0.453594,0.406391,0.350524,0.47889,0.445383,0.41392,0.414508,0.392427,1.0,0.404023,0.472729,0.434828
REC_00183,0.846836,0.874137,0.761974,0.838225,0.455,0.856858,0.808306,0.916735,0.404023,1.0,0.806876,0.908165
REC_00204,0.844336,0.782342,0.644818,0.736287,0.47108,0.878252,0.792119,0.794516,0.472729,0.806876,1.0,0.863446
REC_00205,0.854451,0.858288,0.721174,0.796719,0.46387,0.867374,0.796351,0.869741,0.434828,0.908165,0.863446,1.0
